2026-09-14T21:05:16Z INFO Logging to /tmp/logs/update_2026-09-14T21-05-16Z.log.
2026-09-14T21:05:16Z INFO Processing 357 newly valid content IDs.
2026-09-14T21:05:17Z INFO [1/357] 014a496f-d2f0-48bb-9f85-2dc0eb607da3: 22 groups (HDF5, 84.1 MB; 0.7 s; peak memory 100 MiB)
2026-09-14T21:05:18Z INFO [2/357] 017f060e-e538-4896-a61d-dd4092b129ce: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 100 MiB)
2026-09-14T21:05:18Z INFO [3/357] 0223711a-1e38-4710-b39f-ff1af8be5a5c: 22 groups (HDF5, 84.1 MB; 0.5 s; peak memory 100 MiB)
2026-09-14T21:05:19Z INFO [4/357] 03568a2c-5c61-4701-a395-131539a5bd1e: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 100 MiB)
2026-09-14T21:05:20Z INFO [5/357] 0401290d-c645-4d82-8df5-07ed364605ce: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 100 MiB)
2026-09-14T21:05:20Z INFO [6/357] 040eb805-18d5-4a9a-82f9-ade425c4e878: 33 groups (HDF5, 86.3 MB; 0.6 s; peak memory 101 MiB)
2026-09-14T21:05:24Z INFO [7/357] 05af6a9d-18f2-48f2-8fbe-9c6890ac9ca2: 199 groups (HDF5, 26.5 MB; 4.1 s; peak memory 127 MiB)
2026-09-14T21:05:25Z INFO [8/357] 062bdc9a-bf87-479b-855b-fbc345b6651c: 336 groups (HDF5, 29.4 MB; 1.0 s; peak memory 127 MiB)
2026-09-14T21:05:26Z INFO [9/357] 063776cb-4499-428c-ba5f-c87bfb396353: 17 groups (HDF5, 5.4 MB; 0.5 s; peak memory 127 MiB)
2026-09-14T21:05:27Z INFO [10/357] 06c57dc8-6353-4461-9ffb-1b7158e73601: 108 groups (HDF5, 3.6 MB; 0.9 s; peak memory 127 MiB)
2026-09-14T21:05:27Z INFO [11/357] 0915daf8-0356-45f0-9796-fb9b49a145bc: 32 groups (HDF5, 1.2 MB; 0.7 s; peak memory 127 MiB)
2026-09-14T21:05:28Z INFO [12/357] 09d29abf-e5a0-45fc-a348-e60ac5399f57: 252 groups (HDF5, 0.7 MB; 0.6 s; peak memory 127 MiB)
2026-09-14T21:05:28Z INFO [13/357] 09f7b75a-7429-4fde-9830-efacfd5c46f1: 29 groups (HDF5, 5.5 MB; 0.5 s; peak memory 127 MiB)
2026-09-14T21:05:32Z INFO [14/357] 0a251243-d61b-48cd-a384-edfe8c6d78c1: 181 groups (HDF5, 8.6 MB; 3.7 s; peak memory 127 MiB)
2026-09-14T21:05:33Z INFO [15/357] 0b67343e-ab2d-4b95-8cb7-ed73ca533870: 26 groups (HDF5, 0.2 MB; 0.4 s; peak memory 127 MiB)
2026-09-14T21:05:34Z INFO [16/357] 0c0210ab-5270-4d10-a67b-2db073ceda42: 48 groups (HDF5, 51.5 MB; 1.1 s; peak memory 127 MiB)
2026-09-14T21:05:44Z INFO [17/357] 0c035757-2ea5-4b4a-8c01-0e754b4d7521: 23 groups (HDF5, 43417.6 MB; 10.5 s; peak memory 127 MiB)
2026-09-14T21:06:49Z INFO [18/357] 0c534978-925d-4076-9dd5-4dae3840f89a: 60 groups (HDF5, 19697.8 MB; 64.8 s; peak memory 258 MiB)
2026-09-14T21:06:52Z INFO [19/357] 0c670b3e-2bd3-4f0e-b0e9-7d200e8f5c70: 78 groups (HDF5, 695.1 MB; 3.2 s; peak memory 258 MiB)
2026-09-14T21:06:53Z INFO [20/357] 0ca196f9-b189-4e58-b536-ebde0cb97664: 32 groups (HDF5, 0.9 MB; 0.6 s; peak memory 258 MiB)
2026-09-14T21:07:03Z INFO [21/357] 0d0e0511-8780-4f5b-b19d-2dbcff65660c: 23 groups (HDF5, 36588.4 MB; 9.8 s; peak memory 258 MiB)
2026-09-14T21:07:08Z INFO [22/357] 0dd21998-0369-4e93-a70e-5b0f5464d200: 183 groups (HDF5, 55.3 MB; 4.8 s; peak memory 258 MiB)
2026-09-14T21:07:08Z INFO [23/357] 0e067bea-919e-4c3b-b369-569313eebd65: 28 groups (HDF5, 3322.1 MB; 0.7 s; peak memory 258 MiB)
2026-09-14T21:07:12Z INFO [24/357] 0e2afe47-0143-4129-bef2-4d9f3bda4763: 181 groups (HDF5, 9.0 MB; 3.3 s; peak memory 258 MiB)
2026-09-14T21:07:12Z INFO [25/357] 0e2c6cbc-c5a6-4893-b8ac-294e7d3c95ea: 35 groups (HDF5, 1.5 MB; 0.8 s; peak memory 258 MiB)
2026-09-14T21:07:13Z INFO [26/357] 0e956a61-e36c-4eb7-9029-7bf332cf82e3: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 258 MiB)
2026-09-14T21:09:03Z INFO [27/357] 0ed6cc4e-d3c3-4229-8f51-515a45fa1fea: 42 groups (HDF5, 1738.7 MB; 110.5 s; peak memory 1259 MiB)
2026-09-14T21:09:04Z INFO [28/357] 0f41d552-40ea-41af-90fc-4f4bf3efe89f: 31 groups (HDF5, 0.2 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:09:04Z INFO [29/357] 105a304e-c6c7-452d-85d1-86cb1329698d: 22 groups (HDF5, 0.4 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:09:05Z INFO [30/357] 108adca7-85d3-4e4a-9ca5-797adbed36b1: 24 groups (HDF5, 483.5 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:09:05Z INFO [31/357] 11327ea2-fd89-472e-a18f-2e81149d6951: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:09:06Z INFO [32/357] 121919fb-ef79-4996-87b7-c5a9c6e82952: 35 groups (HDF5, 1.1 MB; 0.8 s; peak memory 1259 MiB)
2026-09-14T21:09:07Z INFO [33/357] 1245d248-2ced-4d1a-8649-8e0870f55faa: 35 groups (HDF5, 1.5 MB; 0.8 s; peak memory 1259 MiB)
2026-09-14T21:09:08Z INFO [34/357] 12965662-c441-4d0b-87b4-6c4393183f6b: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:09:08Z INFO [35/357] 12b5ae6d-1db2-4109-a08d-ff251fa01a33: 22 groups (HDF5, 0.2 MB; 0.4 s; peak memory 1259 MiB)
2026-09-14T21:09:09Z INFO [36/357] 13665327-1786-4ebd-88bc-e8513533550d: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:09:09Z INFO [37/357] 13be75fc-5dd3-4587-a150-5543a26a599a: 32 groups (HDF5, 1.0 MB; 0.7 s; peak memory 1259 MiB)
2026-09-14T21:09:10Z INFO [38/357] 141ebb03-babd-4d37-9a75-737fe81a606c: 17 groups (HDF5, 34.1 MB; 1.0 s; peak memory 1259 MiB)
2026-09-14T21:09:11Z INFO [39/357] 164b22f8-cba5-45e5-b4f3-89bf6456b3d3: 30 groups (HDF5, 0.2 MB; 0.4 s; peak memory 1259 MiB)
2026-09-14T21:09:12Z INFO [40/357] 17594be7-21cb-415f-9bd7-650f1ac6cf5a: 40 groups (HDF5, 7.4 MB; 1.0 s; peak memory 1259 MiB)
2026-09-14T21:09:18Z INFO [41/357] 17bc9325-2474-4081-9c90-01858156e28f: 1658 groups (HDF5, 50.0 MB; 6.7 s; peak memory 1259 MiB)
2026-09-14T21:09:24Z INFO [42/357] 1831ab91-1c8b-447a-8968-80f5f43523b7: 258 groups (HDF5, 37.5 MB; 5.7 s; peak memory 1259 MiB)
2026-09-14T21:09:25Z INFO [43/357] 184ca25f-d233-4ac4-8313-3884123a579a: 25 groups (HDF5, 15.2 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:09:25Z INFO [44/357] 186159de-8beb-43a6-94b4-3315ce122d38: 32 groups (HDF5, 1.6 MB; 0.8 s; peak memory 1259 MiB)
2026-09-14T21:09:52Z INFO [45/357] 194cad86-c4ec-4532-a256-a1cacfcbd9bd: 26 groups (HDF5, 2395.6 MB; 27.0 s; peak memory 1259 MiB)
2026-09-14T21:09:53Z INFO [46/357] 19d23cd2-9c52-4107-a38d-a3e4ae0e7823: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:09:54Z INFO [47/357] 1bd68709-3a19-4fd3-b4f3-868296ad090c: 202 groups (HDF5, 62.7 MB; 0.8 s; peak memory 1259 MiB)
2026-09-14T21:09:56Z INFO [48/357] 1c9732e3-85c7-4bae-bb89-423fd0dafa97: 70 groups (HDF5, 7.4 MB; 2.0 s; peak memory 1259 MiB)
2026-09-14T21:09:56Z INFO [49/357] 1cd2ad90-f42e-403e-a975-9c786b3d3212: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:09:57Z INFO [50/357] 1f2ce014-d966-4f50-a464-57012916650a: 22 groups (HDF5, 84.1 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:09:57Z INFO [51/357] 1f7ceb0f-b98e-4290-8ce3-3f9f6af95325: 22 groups (HDF5, 84.1 MB; 0.4 s; peak memory 1259 MiB)
2026-09-14T21:09:58Z INFO [52/357] 204f38d5-4557-4fa2-9018-828cf4a9aa31: 22 groups (HDF5, 251.9 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:09:59Z INFO [53/357] 20ff96df-4cd8-4123-971e-d4e4269b930b: 35 groups (HDF5, 1.3 MB; 0.8 s; peak memory 1259 MiB)
2026-09-14T21:10:00Z INFO [54/357] 21097cce-89f7-4ce4-9e45-1c992a3cf235: 50 groups (HDF5, 196.1 MB; 1.7 s; peak memory 1259 MiB)
2026-09-14T21:10:01Z INFO [55/357] 2155c254-0232-49cf-913f-dffe125322b4: 32 groups (HDF5, 1.4 MB; 0.7 s; peak memory 1259 MiB)
2026-09-14T21:10:02Z INFO [56/357] 21c338da-f811-4817-a44d-04adc1bd002d: 341 groups (HDF5, 142.0 MB; 1.2 s; peak memory 1259 MiB)
2026-09-14T21:10:03Z INFO [57/357] 2252ab20-5dd0-4404-b3cc-448f03bf73f9: 17 groups (HDF5, 0.2 MB; 0.4 s; peak memory 1259 MiB)
2026-09-14T21:10:03Z INFO [58/357] 23431ed9-302f-43fe-af27-12fe6b8d5ea4: 35 groups (HDF5, 1.5 MB; 0.8 s; peak memory 1259 MiB)
2026-09-14T21:10:04Z INFO [59/357] 23ea7d7e-0628-4fe8-b046-e27880f92792: 202 groups (HDF5, 37.8 MB; 0.8 s; peak memory 1259 MiB)
2026-09-14T21:10:05Z INFO [60/357] 2531a5b4-3c2f-4e2f-9a9f-69add05d0306: 194 groups (HDF5, 26.1 MB; 0.9 s; peak memory 1259 MiB)
2026-09-14T21:10:06Z INFO [61/357] 255e76c6-2b00-4db2-9f5d-cfffad4f6f4d: 32 groups (HDF5, 1.2 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:10:06Z INFO [62/357] 261d25e9-c26c-43c0-9daf-d3cf599daab5: 22 groups (HDF5, 84.1 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:10:14Z INFO [63/357] 2704372d-0024-410c-a63b-324eee165546: 57 groups (HDF5, 23255.6 MB; 7.8 s; peak memory 1259 MiB)
2026-09-14T21:10:22Z INFO [64/357] 2710cae5-7523-4e3c-9d2f-83efb522547d: 297 groups (HDF5, 57.8 MB; 8.1 s; peak memory 1259 MiB)
2026-09-14T21:10:23Z INFO [65/357] 2761a881-042e-4ac7-a44b-fb5d99a1de48: 22 groups (HDF5, 84.1 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:10:23Z INFO [66/357] 285621ce-88dd-4cc1-b8b7-19594789b131: 195 groups (HDF5, 25.9 MB; 0.9 s; peak memory 1259 MiB)
2026-09-14T21:10:25Z INFO [67/357] 29f1db15-a8ed-467f-9704-383d16c58719: 43 groups (HDF5, 441.2 MB; 1.1 s; peak memory 1259 MiB)
2026-09-14T21:10:25Z INFO [68/357] 2c8bbf8d-e45e-4868-8c64-72ac818a0976: 32 groups (HDF5, 0.9 MB; 0.7 s; peak memory 1259 MiB)
2026-09-14T21:10:26Z INFO [69/357] 3014218f-0b87-4bbe-a721-6544b6859195: 22 groups (HDF5, 84.1 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:10:30Z INFO [70/357] 32cb71ad-b0d9-4f4f-a250-dc4839ed2d9b: 202 groups (HDF5, 51.6 MB; 4.6 s; peak memory 1259 MiB)
2026-09-14T21:10:31Z INFO [71/357] 334aaa06-9977-4e6a-97d8-2d7a536a580d: 22 groups (HDF5, 84.1 MB; 0.4 s; peak memory 1259 MiB)
2026-09-14T21:10:31Z INFO [72/357] 3505084e-4fad-40ab-bb77-92e138b601b3: 28 groups (HDF5, 0.9 MB; 0.5 s; peak memory 1259 MiB)
2026-09-14T21:10:32Z INFO [73/357] 3565c7ac-113c-4e62-9ea3-501b7f5fc2ee: 34 groups (HDF5, 118.8 MB; 0.8 s; peak memory 1259 MiB)
2026-09-14T21:11:39Z INFO [74/357] 3582fc4c-6d44-4b9d-8b08-53e85d66f582: 68 groups (HDF5, 19945.6 MB; 67.3 s; peak memory 1259 MiB)
2026-09-14T21:11:58Z INFO [75/357] 396a807a-3d3f-4ca3-bbe5-b18a6de59957: 33 groups (HDF5, 1694.3 MB; 18.1 s; peak memory 1259 MiB)
2026-09-14T21:11:58Z INFO [76/357] 39b4d319-dcd6-4a7e-aedc-14dc921dcd5c: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:11:59Z INFO [77/357] 39b7524f-3a16-4669-bf6d-7f19792e1dbc: 22 groups (HDF5, 84.1 MB; 0.6 s; peak memory 1259 MiB)
2026-09-14T21:11:59Z INFO [78/357] 3a53bd09-a115-40fb-b5aa-70ab93da19c3: 32 groups (HDF5, 1.5 MB; 0.7 s; peak memory 1259 MiB)
2026-09-14T21:12:01Z INFO [79/357] 3a925d45-c111-4761-9d8d-8079c9171af4: 48 groups (HDF5, 188.1 MB; 1.5 s; peak memory 1259 MiB)
