2026-09-17T19:21:28Z INFO Logging to /tmp/logs/update_2026-09-17T19-21-28Z.log.
2026-09-17T19:21:28Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T19:21:28Z INFO Processing 371 items (48415 already recorded).
2026-09-17T19:21:29Z INFO [1/371] 031ead3d-5b25-470a-9e4a-ce71a59cce1e: 18 groups; 1.1 s; peak memory 96 MiB.
2026-09-17T19:21:31Z INFO [2/371] 031eaed9-8c5a-4641-8dbc-727617a5e071: 200 groups; 1.1 s; peak memory 98 MiB.
2026-09-17T19:21:32Z INFO [3/371] 031ec13b-5ba0-41ad-8616-4e096672c2cf: 32 groups; 1.1 s; peak memory 101 MiB.
2026-09-17T19:21:36Z INFO [4/371] 031f08bd-8b9d-420c-a50b-1de3cbd5d026: 126 groups; 4.7 s; peak memory 114 MiB.
2026-09-17T19:21:37Z INFO [5/371] 031f10e6-c448-4607-bf4d-105dac9357dd: 32 groups; 1.1 s; peak memory 115 MiB.
2026-09-17T19:21:39Z INFO [6/371] 031f7146-a42c-4d6a-a31a-1e9f2c395779: 199 groups; 1.2 s; peak memory 115 MiB.
2026-09-17T19:21:40Z INFO [7/371] 03206baf-a88c-4c20-b780-cb8a6e42624c: 35 groups; 1.3 s; peak memory 115 MiB.
2026-09-17T19:21:41Z INFO [8/371] 03208b4c-3453-42ce-a4bc-66ba61308329: 28 groups; 0.8 s; peak memory 115 MiB.
2026-09-17T19:21:42Z INFO [9/371] 0320bea0-3094-4c04-a8db-461b04e6eaf2: 22 groups; 0.9 s; peak memory 116 MiB.
2026-09-17T19:21:43Z INFO [10/371] 032137d6-d4b1-467c-a85c-973ed7513df2: 32 groups; 1.0 s; peak memory 116 MiB.
2026-09-17T19:21:44Z INFO [11/371] 03218b80-9caf-45af-bd7f-5956e243f5b8: 32 groups; 0.9 s; peak memory 116 MiB.
2026-09-17T19:21:46Z INFO [12/371] 0322e3f9-64b5-4e78-865e-74f060889edf: 50 groups; 2.2 s; peak memory 116 MiB.
2026-09-17T19:22:01Z INFO [13/371] 03238fef-42c2-4294-a6a1-5267a33c07d5: 283 groups; 14.9 s; peak memory 156 MiB.
2026-09-17T19:22:02Z INFO [14/371] 0323b62c-bc7f-4806-9ad9-1696d2b42bb9: 87 groups; 1.1 s; peak memory 156 MiB.
2026-09-17T19:22:04Z INFO [15/371] 0323c827-3c2a-4b92-98db-a7cac2f647c2: 17 groups; 1.7 s; peak memory 156 MiB.
2026-09-17T19:22:04Z INFO [16/371] 0323f0ad-1a89-45ef-aaeb-cdcc6ef765df: 30 groups; 0.9 s; peak memory 156 MiB.
2026-09-17T19:22:08Z INFO [17/371] 03254648-f5e8-4a29-b720-2ac3356e5a2f: 181 groups; 3.8 s; peak memory 156 MiB.
2026-09-17T19:22:11Z INFO [18/371] 0326a20f-0453-4949-b951-637340e2a5aa: 60 groups; 2.3 s; peak memory 156 MiB.
2026-09-17T19:22:11Z INFO [19/371] 03273dca-c55a-4ca9-868c-f1fbb2860e76: 22 groups; 0.9 s; peak memory 156 MiB.
2026-09-17T19:22:12Z INFO [20/371] 0327aa4d-71e8-4f7d-8d9d-2e032fa568f5: 22 groups; 1.0 s; peak memory 156 MiB.
2026-09-17T19:22:13Z INFO [21/371] 03286bbd-707b-4b66-925e-04609288a358: 255 groups; 1.1 s; peak memory 156 MiB.
2026-09-17T19:22:15Z INFO [22/371] 032934d7-f9e2-43c8-be56-d6598ec75d69: 31 groups; 1.3 s; peak memory 156 MiB.
2026-09-17T19:22:16Z INFO [23/371] 032952f0-410a-423c-be15-f17deb371265: 22 groups; 0.8 s; peak memory 156 MiB.
2026-09-17T19:22:17Z INFO [24/371] 03297d06-7c90-42a4-b2ca-ca1c99cfc2b7: 32 groups; 1.0 s; peak memory 156 MiB.
2026-09-17T19:22:18Z INFO [25/371] 032a5355-e71e-4389-b744-708ec235a859: 202 groups; 1.3 s; peak memory 156 MiB.
