2026-09-17T22:29:05Z INFO Logging to /tmp/logs/update_2026-09-17T22-29-05Z.log.
2026-09-17T22:29:05Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T22:29:05Z INFO Processing 366 items (48786 already recorded).
2026-09-17T22:29:06Z INFO [1/366] 03ec5a4f-3173-42f8-850c-15ed08aed12c: 35 groups; 1.3 s; peak memory 100 MiB.
2026-09-17T22:29:16Z INFO [2/366] 03ecbdfe-ab2e-49a1-8105-35c0e68b2375: 22 groups; 9.4 s; peak memory 112 MiB.
2026-09-17T22:29:47Z INFO [3/366] 03eea484-e3c5-4e78-a5da-da00dd567585: 2404 groups; 30.9 s; peak memory 269 MiB.
2026-09-17T22:29:47Z INFO [4/366] 03eea5a4-038d-4f00-ac1f-b6354a112958: 22 groups; 0.7 s; peak memory 269 MiB.
2026-09-17T22:29:49Z INFO [5/366] 03ef2886-16d4-4dad-a144-f842850112b7: 48 groups; 1.5 s; peak memory 269 MiB.
2026-09-17T22:29:50Z INFO [6/366] 03f0ba9a-9fba-4fbd-90e9-1fa2550d6e69: 32 groups; 0.8 s; peak memory 269 MiB.
2026-09-17T22:29:50Z INFO [7/366] 03f14658-7775-40db-91c7-631753f4a679: 33 groups; 0.6 s; peak memory 269 MiB.
2026-09-17T22:29:51Z INFO [8/366] 03f1c800-065e-49c5-ace1-c5c7c82e504d: 22 groups; 0.7 s; peak memory 269 MiB.
2026-09-17T22:30:17Z INFO [9/366] 03f1cdc0-68da-4bb2-bf8e-1e3c8775ced3: 1256 groups; 25.8 s; peak memory 269 MiB.
2026-09-17T22:30:22Z INFO [10/366] 03f2eca9-62ef-4346-a121-eed00bcea895: 123 groups; 5.2 s; peak memory 269 MiB.
2026-09-17T22:30:23Z INFO [11/366] 03f2f433-cf73-4234-9ab5-77fb454001c7: 31 groups; 0.6 s; peak memory 269 MiB.
2026-09-17T22:30:24Z INFO [12/366] 03f4ae5c-122a-49eb-8157-a17e7b3d53a0: 336 groups; 1.1 s; peak memory 269 MiB.
2026-09-17T22:30:25Z INFO [13/366] 03f58e87-27be-4323-9e18-ef5f2d6ce202: 35 groups; 0.9 s; peak memory 269 MiB.
2026-09-17T22:30:28Z INFO [14/366] 03f5a363-67cf-46d8-a613-1cd18948c791: 47 groups; 3.2 s; peak memory 269 MiB.
2026-09-17T22:30:29Z INFO [15/366] 03f5e816-978b-4392-8af8-b6e00418d508: 32 groups; 0.8 s; peak memory 270 MiB.
