2026-09-18T15:15:15Z INFO Logging to /tmp/logs/update_2026-09-18T15-15-15Z.log.
2026-09-18T15:15:15Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T15:15:15Z INFO Processing 374 items (49152 already recorded).
2026-09-18T15:15:17Z INFO [1/374] 0166c3fd-03f3-4920-9f20-93d081fa89e0: 35 groups; 1.5 s; peak memory 98 MiB.
2026-09-18T15:15:24Z INFO [2/374] 04b6f7fd-5c5f-4c4b-b274-789fb97d321d: 171 groups; 6.9 s; peak memory 137 MiB.
2026-09-18T15:15:32Z INFO [3/374] 04b75f8c-8408-434b-84a4-463257141e4c: 178 groups; 7.9 s; peak memory 138 MiB.
2026-09-18T15:15:32Z INFO [4/374] 04b7cf3b-c18b-43df-a0e6-e3e7cc791aea: 28 groups; 0.7 s; peak memory 139 MiB.
2026-09-18T15:15:33Z INFO [5/374] 04b91b84-bd6c-4180-825d-107e795031cc: 196 groups; 1.0 s; peak memory 139 MiB.
2026-09-18T15:15:38Z INFO [6/374] 04b93355-d721-4440-8542-339579fdb827: 65 groups; 4.4 s; peak memory 139 MiB.
2026-09-18T15:15:39Z INFO [7/374] 04ba01a2-879e-406b-94af-614aeb1096f6: 35 groups; 1.2 s; peak memory 139 MiB.
2026-09-18T15:15:45Z INFO [8/374] 04ba6299-80c9-4ad4-9a10-a40a10c2c3e3: 216 groups; 6.4 s; peak memory 140 MiB.
2026-09-18T15:15:46Z INFO [9/374] 04ba97ae-796a-43bc-997e-b3acbe8a24ff: 253 groups; 0.8 s; peak memory 140 MiB.
2026-09-18T15:15:47Z INFO [10/374] 04bb20f8-d2c1-4670-8466-7bb2d5d2c9b0: 32 groups; 0.8 s; peak memory 140 MiB.
2026-09-18T15:15:48Z INFO [11/374] 04bbfbc8-a688-4460-a7fe-e21414f621fd: 35 groups; 0.8 s; peak memory 140 MiB.
2026-09-18T15:15:58Z INFO [12/374] 04bd51d2-c127-4422-b6df-75c95498f7d6: 314 groups; 10.5 s; peak memory 147 MiB.
2026-09-18T15:15:59Z INFO [13/374] 04bea271-a43a-4e75-a3a9-6e1363ac9868: 32 groups; 0.7 s; peak memory 147 MiB.
2026-09-18T15:16:08Z INFO [14/374] 04bf3571-7c36-41c4-8905-dd6a7ee3d403: 93 groups; 8.6 s; peak memory 147 MiB.
2026-09-18T15:16:08Z INFO [15/374] 04bf62f9-7c2f-4359-918c-b643f579dd1a: 28 groups; 0.6 s; peak memory 147 MiB.
2026-09-18T15:16:09Z INFO [16/374] 04bf6640-086a-4544-8fd3-d1f203a2de9a: 30 groups; 0.5 s; peak memory 148 MiB.
2026-09-18T15:16:15Z INFO [17/374] 04bfd946-cac3-4c5b-841e-0b13bf57d0ad: 232 groups; 5.8 s; peak memory 148 MiB.
2026-09-18T15:16:23Z INFO [18/374] 04c13ec4-37ce-4764-a066-c912353d4e54: 169 groups; 8.0 s; peak memory 149 MiB.
