2026-09-18T18:40:45Z INFO Logging to /tmp/logs/update_2026-09-18T18-40-45Z.log.
2026-09-18T18:40:45Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T18:40:45Z INFO Processing 375 items (49526 already recorded).
2026-09-18T18:41:01Z INFO [1/375] 058fefa7-b128-4045-87d7-40b429b60aca: 251 groups; 15.5 s; peak memory 154 MiB.
2026-09-18T18:41:02Z INFO [2/375] 05905626-ffdc-4356-bc6d-1b3743831f26: 35 groups; 1.3 s; peak memory 154 MiB.
2026-09-18T18:41:04Z INFO [3/375] 059089ef-799d-4198-a6b6-7f2cc22a04b9: 194 groups; 2.2 s; peak memory 154 MiB.
2026-09-18T18:41:06Z INFO [4/375] 0590a34a-5a3c-42c3-be96-5071220c0b31: 48 groups; 2.0 s; peak memory 155 MiB.
2026-09-18T18:41:07Z INFO [5/375] 059202c7-04af-4fea-88b7-2c2253d22e1b: 22 groups; 0.8 s; peak memory 155 MiB.
2026-09-18T18:41:08Z INFO [6/375] 0592d28c-9eba-4113-8b6c-9a936557c21a: 22 groups; 0.8 s; peak memory 155 MiB.
2026-09-18T18:41:09Z INFO [7/375] 0592ecef-0a70-48fa-b6a5-b6f3408585a4: 22 groups; 0.9 s; peak memory 155 MiB.
2026-09-18T18:41:11Z INFO [8/375] 0592f8d0-6fc0-4504-a97d-a4dbc5c35a79: 49 groups; 2.4 s; peak memory 156 MiB.
2026-09-18T18:41:12Z INFO [9/375] 05935ceb-44b7-4cad-b5dd-a53265b9e5e2: 22 groups; 1.0 s; peak memory 156 MiB.
2026-09-18T18:41:19Z INFO [10/375] 0593b853-d93c-467d-8ad3-586ba6838f93: 200 groups; 6.9 s; peak memory 156 MiB.
2026-09-18T18:41:20Z INFO [11/375] 0593c7ec-419d-42f0-97a2-f7ae26bd0e9b: 195 groups; 1.2 s; peak memory 156 MiB.
2026-09-18T18:41:22Z INFO [12/375] 05942bb0-486d-45bd-816f-2330ebe172b6: 35 groups; 1.2 s; peak memory 156 MiB.
2026-09-18T18:41:23Z INFO [13/375] 05949dbb-a3a7-407f-97b7-16904ed9acf0: 22 groups; 1.1 s; peak memory 156 MiB.
2026-09-18T18:41:24Z INFO [14/375] 05951d4d-8ab8-4368-bb4d-b529942fca6f: 22 groups; 0.9 s; peak memory 156 MiB.
2026-09-18T18:41:59Z INFO [15/375] 0595737a-c45e-4e6f-ad93-b63e93df6551: 26 groups; 35.9 s; peak memory 201 MiB.
