2026-09-18T21:58:54Z INFO Logging to /tmp/logs/update_2026-09-18T21-58-54Z.log.
2026-09-18T21:58:54Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T21:58:54Z INFO Processing 368 items (49901 already recorded).
2026-09-18T21:58:55Z INFO [1/368] 064dbccc-cac7-4909-8c3f-2cc127d8fe60: 16 groups; 0.9 s; peak memory 96 MiB.
2026-09-18T21:58:56Z INFO [2/368] 064dfd3f-a6d3-4494-9842-30eb6ac2d533: 32 groups; 0.9 s; peak memory 101 MiB.
2026-09-18T21:58:58Z INFO [3/368] 064e1660-1e68-4ade-a363-40abdc7ea611: 336 groups; 2.0 s; peak memory 102 MiB.
2026-09-18T21:58:59Z INFO [4/368] 064fefac-41fe-4311-968c-265ebcf46d87: 33 groups; 0.9 s; peak memory 102 MiB.
2026-09-18T21:59:00Z INFO [5/368] 06508326-2418-47cd-b3fc-bea60f0c9e2e: 32 groups; 0.7 s; peak memory 103 MiB.
2026-09-18T21:59:01Z INFO [6/368] 0650837b-7e7f-4e5e-ae30-433afc75e218: 35 groups; 0.9 s; peak memory 103 MiB.
2026-09-18T21:59:01Z INFO [7/368] 06514b38-f075-4f13-971a-0c598258b934: 22 groups; 0.7 s; peak memory 104 MiB.
2026-09-18T21:59:02Z INFO [8/368] 065286f4-88ef-48a8-b1f3-5b3c5af047c6: 32 groups; 0.8 s; peak memory 104 MiB.
2026-09-18T21:59:03Z INFO [9/368] 06543034-a261-498b-a0e8-f7b3d32f359c: 28 groups; 0.6 s; peak memory 104 MiB.
2026-09-18T21:59:05Z INFO [10/368] 0654a4f0-5300-4cc4-9f27-b8350bd04a36: 17 groups; 2.4 s; peak memory 109 MiB.
2026-09-18T21:59:06Z INFO [11/368] 0654bbd6-3706-4d30-b4e7-bcfee7f1c3db: 22 groups; 0.6 s; peak memory 109 MiB.
2026-09-18T21:59:12Z INFO [12/368] 06553df4-22a5-4c1c-8c62-d688b40edf2b: 201 groups; 6.3 s; peak memory 120 MiB.
2026-09-18T21:59:16Z INFO [13/368] 0655595d-cce5-46c1-b57d-becc785c2660: 122 groups; 4.4 s; peak memory 125 MiB.
2026-09-18T21:59:17Z INFO [14/368] 0655fca6-a89b-4fb0-b001-af59d773e192: 22 groups; 0.6 s; peak memory 125 MiB.
2026-09-18T21:59:18Z INFO [15/368] 06564355-37a9-4e4e-a408-044fbb58d2ae: 199 groups; 1.0 s; peak memory 125 MiB.
