2026-09-19T13:31:12Z INFO Logging to /tmp/logs/update_2026-09-19T13-31-12Z.log.
2026-09-19T13:31:12Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-19T13:31:12Z INFO Processing 374 items (50269 already recorded).
2026-09-19T13:31:17Z INFO [1/374] 049761b4-6a88-42dc-98a0-5a8be7ba6bd9: 82 groups; 5.0 s; peak memory 106 MiB.
2026-09-19T13:31:18Z INFO [2/374] 071532d9-c694-4c9f-bb78-ab2f78cc4e66: 32 groups; 0.8 s; peak memory 106 MiB.
2026-09-19T13:33:26Z INFO [3/374] 0715b077-c584-4b11-a0fe-0c00f10c9b55: 3424 groups; 128.2 s; peak memory 521 MiB.
2026-09-19T13:33:27Z INFO [4/374] 0715b3a9-d579-4fe1-9fb2-782eb531c812: 22 groups; 0.6 s; peak memory 521 MiB.
2026-09-19T13:33:28Z INFO [5/374] 0715d982-92b5-4d1d-a3fc-2d3e8508dc95: 29 groups; 0.5 s; peak memory 521 MiB.
2026-09-19T13:33:28Z INFO [6/374] 0715db53-477d-4ff6-86db-c0b800ca74ba: 32 groups; 0.8 s; peak memory 521 MiB.
2026-09-19T13:33:29Z INFO [7/374] 07178dd5-cb9f-4cb6-914f-7a9426f386f5: 22 groups; 0.6 s; peak memory 521 MiB.
2026-09-19T13:33:37Z INFO [8/374] 07179e04-df54-4929-b0db-0485903a2eed: 274 groups; 8.1 s; peak memory 521 MiB.
2026-09-19T13:33:38Z INFO [9/374] 0717d38e-6908-4420-82f2-407333a224e7: 32 groups; 0.7 s; peak memory 521 MiB.
2026-09-19T13:33:45Z INFO [10/374] 0717f896-750e-45a5-9e39-243a50fc9676: 199 groups; 6.9 s; peak memory 521 MiB.
2026-09-19T13:33:45Z INFO [11/374] 07195b05-571c-4565-aee7-5b38736c4178: 22 groups; 0.5 s; peak memory 521 MiB.
2026-09-19T13:33:46Z INFO [12/374] 07196402-94e5-48f1-8f6d-152bd9a088b7: 32 groups; 0.7 s; peak memory 521 MiB.
2026-09-19T13:33:47Z INFO [13/374] 071966ba-39d0-4123-8025-bc3ff2f0842f: 22 groups; 0.7 s; peak memory 521 MiB.
2026-09-19T13:33:52Z INFO [14/374] 071981bc-3d1d-4875-94f2-d4f8f7da46de: 163 groups; 5.1 s; peak memory 522 MiB.
2026-09-19T13:33:52Z INFO [15/374] 0719b2ab-e5e1-4e5c-9422-d1bb724010f1: 32 groups; 0.6 s; peak memory 522 MiB.
2026-09-19T13:33:53Z INFO [16/374] 071a0dd7-8a8d-484f-b569-cd47ac4893f3: 24 groups; 0.8 s; peak memory 522 MiB.
2026-09-19T13:35:12Z INFO [17/374] 071aedc0-a111-4c80-82d8-595638a2a501: 62 groups; 78.7 s; peak memory 522 MiB.
2026-09-19T13:35:13Z INFO [18/374] 071b7390-cd21-4a70-ada3-4ccaa729be12: 35 groups; 0.9 s; peak memory 522 MiB.
2026-09-19T13:35:13Z INFO [19/374] 071b88d4-d6c7-4070-85c1-35c5a0b1c00c: 22 groups; 0.6 s; peak memory 522 MiB.
2026-09-19T13:35:14Z INFO [20/374] 071bbac7-04f5-4dfc-9293-9fa05fade2e0: 22 groups; 0.7 s; peak memory 522 MiB.
2026-09-19T13:35:15Z INFO [21/374] 071c06b2-8e72-4dca-9964-7b5e9eafbb27: 22 groups; 0.7 s; peak memory 522 MiB.
2026-09-19T13:35:15Z INFO [22/374] 071c778a-d148-4325-bb5e-dedc6b25dad7: 22 groups; 0.6 s; peak memory 522 MiB.
2026-09-19T13:35:16Z INFO [23/374] 071d11b9-f097-4808-952a-c04e45a5927e: 32 groups; 0.9 s; peak memory 522 MiB.
2026-09-19T13:35:17Z INFO [24/374] 071dfbcf-3f2a-471a-a4eb-3b488844ed25: 35 groups; 0.8 s; peak memory 522 MiB.
2026-09-19T13:35:19Z INFO [25/374] 071eb111-f73b-4ef1-93f1-935b88891f11: 50 groups; 1.6 s; peak memory 522 MiB.
2026-09-19T13:35:25Z INFO [26/374] 071f06d4-06af-4f81-a035-17607a3f6607: 253 groups; 5.9 s; peak memory 522 MiB.
2026-09-19T13:35:26Z INFO [27/374] 071feb7b-58d2-41a2-ad55-d1fa98e7ca4b: 200 groups; 1.2 s; peak memory 522 MiB.
2026-09-19T13:35:27Z INFO [28/374] 07208599-0f58-4298-94db-aaa0f198928f: 32 groups; 0.8 s; peak memory 522 MiB.
2026-09-19T13:35:27Z INFO [29/374] 0720b77b-9127-4baa-ace5-4819c4b5802f: 21 groups; 0.5 s; peak memory 522 MiB.
2026-09-19T13:35:28Z INFO [30/374] 07212f56-f4a9-4f1c-9c09-95b22d156d72: 202 groups; 0.8 s; peak memory 522 MiB.
2026-09-19T13:35:36Z INFO [31/374] 07227210-5913-459a-b9f6-af33f40ed55e: 17 groups; 7.9 s; peak memory 522 MiB.
2026-09-19T13:35:37Z INFO [32/374] 072402f1-8a75-4ae4-ad4e-7581540d3514: 41 groups; 1.0 s; peak memory 522 MiB.
2026-09-19T13:35:38Z INFO [33/374] 0724dab7-2a6f-43cc-9752-c168d70ed3d2: 24 groups; 0.6 s; peak memory 522 MiB.
2026-09-19T13:35:43Z INFO [34/374] 07257087-71a0-4a9c-95e3-a00c129d6b8d: 50 groups; 5.7 s; peak memory 525 MiB.
2026-09-19T13:35:48Z INFO [35/374] 07259e40-6f7e-4086-b6ae-3b008707a3ec: 174 groups; 5.2 s; peak memory 525 MiB.
2026-09-19T13:35:49Z INFO [36/374] 07262202-2dad-42f6-8350-6219d9d99c9b: 22 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:35:51Z INFO [37/374] 07264206-5e57-4410-b345-f110514d57dc: 48 groups; 1.6 s; peak memory 525 MiB.
2026-09-19T13:35:52Z INFO [38/374] 072642e8-131a-4910-bd9f-5125fc720238: 32 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:35:52Z INFO [39/374] 0726ec64-201e-4018-8830-5fdc0a1b8196: 33 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:35:53Z INFO [40/374] 07296b54-e9b6-4d23-8427-6e9bff940df8: 32 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:35:58Z INFO [41/374] 07297b87-9014-48a7-ab6b-a3e843d5c837: 180 groups; 5.1 s; peak memory 525 MiB.
2026-09-19T13:35:59Z INFO [42/374] 0729bf5a-27fe-42b1-a38d-59191d07e171: 258 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:35:59Z INFO [43/374] 072b1466-36a3-495f-8b27-2ae0a383b68e: 34 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:36:00Z INFO [44/374] 072b2dfb-9be4-41f4-9899-e59b66e4f699: 194 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:36:01Z INFO [45/374] 072becdf-9505-48b9-a492-00757bad8b8f: 35 groups; 1.0 s; peak memory 525 MiB.
2026-09-19T13:36:02Z INFO [46/374] 072c412e-3b37-47d9-ab4a-eaca817a1f40: 35 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:36:03Z INFO [47/374] 072dfe24-49e0-4d9b-9d8d-d816f83c332a: 22 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:36:03Z INFO [48/374] 072e4615-51f0-4f2d-82be-e9294e131b9f: 22 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:36:04Z INFO [49/374] 072efaa1-1fbf-4f4d-b09c-8e8ff53b94e1: 36 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:36:05Z INFO [50/374] 0730641a-570a-47dc-a507-0698ceb17478: 27 groups; 0.9 s; peak memory 525 MiB.
2026-09-19T13:36:05Z INFO [50/374] 0730641a-570a-47dc-a507-0698ceb17478: checkpointed 50319 records.
2026-09-19T13:36:08Z INFO [51/374] 073080ed-5854-42fd-ae86-1c508b7aa193: 111 groups; 2.5 s; peak memory 525 MiB.
2026-09-19T13:36:18Z INFO [52/374] 073127d5-1e41-460a-8efe-787c56873901: 258 groups; 9.9 s; peak memory 525 MiB.
2026-09-19T13:36:19Z INFO [53/374] 07315a1d-372d-4b79-a9d5-89b271611d0b: 337 groups; 1.1 s; peak memory 525 MiB.
2026-09-19T13:36:19Z INFO [54/374] 0731f941-e66c-4925-b94d-845c825e01aa: 196 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:36:22Z INFO [55/374] 0732018e-73cf-4526-8473-d4b7e73a1f26: 56 groups; 2.3 s; peak memory 525 MiB.
2026-09-19T13:36:25Z INFO [56/374] 0732599b-1232-448a-a04d-1aa0dbd3cdc8: 53 groups; 3.3 s; peak memory 525 MiB.
2026-09-19T13:36:26Z INFO [57/374] 0732ec30-9f94-4432-bba0-377f08a8b842: 202 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:36:29Z INFO [58/374] 07331792-991e-491c-90fb-4a6c736dd774: 50 groups; 3.1 s; peak memory 525 MiB.
2026-09-19T13:36:31Z INFO [59/374] 07333116-cfce-45d7-bde2-566d5820d945: 32 groups; 2.1 s; peak memory 525 MiB.
2026-09-19T13:36:42Z INFO [60/374] 07337272-1ef4-40d2-94b6-18fb49d52508: 23 groups; 11.4 s; peak memory 525 MiB.
2026-09-19T13:36:43Z INFO [61/374] 07344578-04af-41fd-9775-5abe3bb152e7: 32 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:36:44Z INFO [62/374] 073470e8-0af4-4959-bd47-dd46abc934f7: 32 groups; 0.9 s; peak memory 525 MiB.
2026-09-19T13:36:50Z INFO [63/374] 07360033-3bc5-4616-b5ff-01882e17a110: 50 groups; 5.5 s; peak memory 525 MiB.
2026-09-19T13:36:53Z INFO [64/374] 073654ab-af1a-4f55-87e1-75d4e8033cd9: 132 groups; 3.4 s; peak memory 525 MiB.
2026-09-19T13:36:54Z INFO [65/374] 07370406-fc37-4a37-9b82-85a0cd29bd92: 33 groups; 1.0 s; peak memory 525 MiB.
2026-09-19T13:36:55Z INFO [66/374] 0737345d-36d6-4161-b0fc-adae6cf91139: 51 groups; 1.3 s; peak memory 525 MiB.
2026-09-19T13:36:56Z INFO [67/374] 07376a45-eb5c-4936-9212-ef1e966a8aa8: 32 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:36:58Z INFO [68/374] 073798cd-3794-4d47-968f-5516667d3c64: 255 groups; 1.9 s; peak memory 525 MiB.
2026-09-19T13:37:00Z INFO [69/374] 0738092e-c13a-46ca-a553-ed8742c09d09: 32 groups; 2.0 s; peak memory 525 MiB.
2026-09-19T13:37:00Z INFO [70/374] 073834d2-6ec5-47a4-9c1c-0d43b3f0aec8: 16 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:37:01Z INFO [71/374] 07387a8a-1e7a-4f5b-9cdb-f0a7c0c34bec: 22 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:37:02Z INFO [72/374] 07389290-f0e4-47f1-80f5-3f10a4e3d0a0: 27 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:37:02Z INFO [73/374] 07394f4f-9319-4c8e-8941-bed9af9dfb87: 16 groups; 0.4 s; peak memory 525 MiB.
2026-09-19T13:37:03Z INFO [74/374] 07395998-ace3-4f88-9238-93d2114ca561: 35 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:37:04Z INFO [75/374] 0739aee1-139d-4315-842b-2346717f1993: 24 groups; 0.9 s; peak memory 525 MiB.
2026-09-19T13:37:11Z INFO [76/374] 0739c079-730e-4f94-8968-ac8a762e87a9: 22 groups; 7.0 s; peak memory 525 MiB.
2026-09-19T13:37:12Z INFO [77/374] 073bbac3-923c-40f8-b818-7e939c11fbd2: 22 groups; 0.8 s; peak memory 525 MiB.
