2026-09-20T14:57:38Z INFO Logging to /tmp/logs/update_2026-09-20T14-57-38Z.log.
2026-09-20T14:57:38Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T14:57:39Z INFO Processing 394 items (51373 already recorded).
2026-09-20T14:57:40Z INFO [1/394] 00e36e78-caf6-43db-ae84-71e3a02b5122: 28 groups; 1.1 s; peak memory 98 MiB.
2026-09-20T14:57:42Z INFO [2/394] 00f15f38-bce9-441b-b55e-12956eee2592: 29 groups; 2.1 s; peak memory 102 MiB.
2026-09-20T14:57:45Z INFO [3/394] 013b6125-db3c-4024-8f34-b4880e79406c: 71 groups; 2.9 s; peak memory 105 MiB.
2026-09-20T14:57:46Z INFO [4/394] 0185c834-bca9-47aa-a30c-331cb6a35143: 29 groups; 1.9 s; peak memory 105 MiB.
2026-09-20T14:57:47Z INFO [5/394] 01a9fffc-f243-4d53-b7c1-69f10b682dae: 28 groups; 0.7 s; peak memory 105 MiB.
2026-09-20T14:57:48Z INFO [6/394] 0213d4a7-a1f7-4d08-bb5e-b16d22514a52: 28 groups; 0.8 s; peak memory 105 MiB.
2026-09-20T14:57:50Z INFO [7/394] 027c833a-981b-4e5f-8b01-85f182f76fcd: 26 groups; 1.7 s; peak memory 106 MiB.
2026-09-20T14:57:52Z INFO [8/394] 035f86c6-c72b-48b9-b645-0b7ef297a304: 29 groups; 2.2 s; peak memory 106 MiB.
2026-09-20T14:57:53Z INFO [9/394] 03f85366-5aea-45fb-a203-36a6495c0705: 28 groups; 0.7 s; peak memory 106 MiB.
2026-09-20T14:57:53Z INFO [10/394] 044cb660-5eed-472a-afee-70bc24f706a6: 28 groups; 0.7 s; peak memory 106 MiB.
2026-09-20T14:57:54Z INFO [11/394] 04c3d246-eb00-4ca2-a600-f1c0b56f16eb: 28 groups; 0.8 s; peak memory 106 MiB.
2026-09-20T14:57:57Z INFO [12/394] 04fdd2ad-76a3-48d1-99eb-81988085af64: 68 groups; 3.0 s; peak memory 108 MiB.
2026-09-20T14:58:00Z INFO [13/394] 06cc677f-00c9-429c-b595-8b27223e4b5d: 71 groups; 3.0 s; peak memory 108 MiB.
2026-09-20T14:58:03Z INFO [14/394] 08cde427-3ffe-46bd-b773-182a2fe5f1b7: 71 groups; 2.9 s; peak memory 110 MiB.
2026-09-20T14:58:04Z INFO [15/394] 0935e4a8-b86f-4780-8d3d-d1334ff5a883: 28 groups; 0.7 s; peak memory 110 MiB.
2026-09-20T14:58:04Z INFO [16/394] 09647473-9101-4fb0-922e-709ce062b2fc: 32 groups; 0.6 s; peak memory 110 MiB.
2026-09-20T14:58:05Z INFO [17/394] 09649dfe-e39e-4b6d-be0a-bd553b9fa1c4: 32 groups; 0.8 s; peak memory 110 MiB.
2026-09-20T14:58:10Z INFO [18/394] 0964c458-fa1d-49a2-92d5-70d6483681ff: 29 groups; 5.3 s; peak memory 120 MiB.
2026-09-20T14:58:12Z INFO [19/394] 0965063a-ec06-496e-971c-bf70db2e4b6e: 50 groups; 1.8 s; peak memory 120 MiB.
2026-09-20T14:58:13Z INFO [20/394] 0965967a-4578-40d6-b493-8f295916b866: 35 groups; 1.2 s; peak memory 120 MiB.
