2026-09-20T18:20:33Z INFO Logging to /tmp/logs/update_2026-09-20T18-20-33Z.log.
2026-09-20T18:20:33Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T18:20:33Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:20:34Z INFO [1/363] 0a289fa2-92cc-4f48-a2a4-3ac59527bac0: 35 groups; 1.6 s; peak memory 102 MiB.
2026-09-20T18:20:36Z INFO [2/363] 0a2928e3-386d-4085-bbfb-29dfe61bb41c: 17 groups; 1.8 s; peak memory 103 MiB.
2026-09-20T18:20:37Z INFO [3/363] 0a2af385-4be2-435d-877d-5bb9dd48a1f1: 25 groups; 1.0 s; peak memory 103 MiB.
2026-09-20T18:20:38Z INFO [4/363] 0a2b13f4-6bad-457d-b721-12a2658d8ada: 32 groups; 1.1 s; peak memory 103 MiB.
2026-09-20T18:20:41Z INFO [5/363] 0a2c2776-e09c-406e-a22f-e8e12aa90270: 50 groups; 2.9 s; peak memory 105 MiB.
2026-09-20T18:20:47Z INFO [6/363] 0a2cf04e-baef-4123-9de3-4acab8c6b09f: 220 groups; 5.8 s; peak memory 116 MiB.
2026-09-20T18:20:48Z INFO [7/363] 0a2e47f5-4a10-4d89-8b9c-29152c6c6028: 72 groups; 1.3 s; peak memory 116 MiB.
2026-09-20T18:20:50Z INFO [8/363] 0a2f8916-919a-43b5-95fb-b666d34309fe: 33 groups; 1.2 s; peak memory 116 MiB.
2026-09-20T18:21:02Z INFO [9/363] 0a2fac73-8161-43f0-83b4-807154781f08: 17 groups; 12.8 s; peak memory 133 MiB.
2026-09-20T18:21:03Z INFO [10/363] 0a2fcc74-da26-4206-bf69-af88dc383fd6: 35 groups; 1.1 s; peak memory 133 MiB.
2026-09-20T18:21:04Z INFO [11/363] 0a30c056-bd68-481a-80bb-cfbaadd0c18e: 22 groups; 1.0 s; peak memory 133 MiB.
2026-09-20T18:21:14Z INFO [12/363] 0a3106fb-8fea-4460-9728-46ca4232a3cf: 240 groups; 9.2 s; peak memory 140 MiB.
2026-09-20T18:21:15Z INFO [13/363] 0a31bb2f-3158-4043-be80-08b4ba5a888e: 33 groups; 1.2 s; peak memory 140 MiB.
2026-09-20T18:21:16Z INFO [14/363] 0a320752-11e8-49c5-8e24-93821977e926: 22 groups; 0.8 s; peak memory 140 MiB.
2026-09-20T18:21:17Z INFO [15/363] 0a3250ef-f869-4820-9969-83ed79464332: 32 groups; 1.2 s; peak memory 140 MiB.
2026-09-20T18:21:21Z INFO [16/363] 0a3258df-00a9-4615-abcf-801deab46905: 95 groups; 4.7 s; peak memory 140 MiB.
2026-09-20T18:21:22Z INFO [17/363] 0a3283fa-e072-469b-a912-5c94ee68f913: 32 groups; 0.9 s; peak memory 140 MiB.
2026-09-20T18:21:28Z INFO [18/363] 0a328f57-f535-427e-8a5b-d851b8812b71: 139 groups; 5.9 s; peak memory 141 MiB.
2026-09-20T18:21:30Z INFO [19/363] 0a32d08f-f982-4981-9acf-0a39aa5f9948: 47 groups; 1.9 s; peak memory 141 MiB.
2026-09-20T18:21:31Z INFO [20/363] 0a3321ea-4424-4194-abd0-148a8aec79cd: 35 groups; 1.1 s; peak memory 141 MiB.
2026-09-20T18:21:32Z INFO [21/363] 0a33334f-4d2b-4787-b039-66b0ac8ab852: 22 groups; 0.9 s; peak memory 141 MiB.
2026-09-20T18:21:33Z INFO [22/363] 0a33ae36-54af-478c-bba6-67415e89d413: 22 groups; 0.9 s; peak memory 141 MiB.
2026-09-20T18:21:34Z INFO [23/363] 0a340cf1-5d86-40b7-b605-4ed3f577cdf6: 35 groups; 1.3 s; peak memory 141 MiB.
2026-09-20T18:21:37Z INFO [24/363] 0a3498db-b548-47be-9a60-dc4276c10da5: 50 groups; 2.6 s; peak memory 141 MiB.
2026-09-20T18:21:38Z INFO [25/363] 0a36fb59-5c4f-4378-994c-9f17bcdc266e: 22 groups; 0.9 s; peak memory 141 MiB.
2026-09-20T18:21:39Z INFO [26/363] 0a370199-85b5-4e6a-9c4d-93a4ae30a36f: 44 groups; 1.7 s; peak memory 141 MiB.
2026-09-20T18:21:40Z INFO [27/363] 0a38687e-ff55-4b38-96a5-9adaff8654c6: 17 groups; 0.7 s; peak memory 141 MiB.
2026-09-20T18:21:42Z INFO [28/363] 0a38a95a-d806-4cfd-a922-19587753ddef: 35 groups; 2.3 s; peak memory 141 MiB.
2026-09-20T18:21:45Z INFO [29/363] 0a38ed03-2fad-4b64-a278-60e5b00ec340: 17 groups; 2.2 s; peak memory 141 MiB.
2026-09-20T18:21:46Z INFO [30/363] 0a3988c0-bea2-47c9-a888-6fe80d947f63: 36 groups; 1.2 s; peak memory 141 MiB.
2026-09-20T18:21:57Z INFO [31/363] 0a3a2191-f988-41ec-9522-cf152d5b173c: 261 groups; 10.9 s; peak memory 151 MiB.
2026-09-20T18:21:58Z INFO [32/363] 0a3a323c-9dc6-45c6-993d-ec55402533c9: 22 groups; 0.7 s; peak memory 151 MiB.
