2026-09-21T21:17:01Z INFO Logging to /tmp/logs/update_2026-09-21T21-17-01Z.log.
2026-09-21T21:17:01Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T21:17:01Z INFO Processing 356 items (52866 already recorded).
2026-09-21T21:17:02Z INFO [1/356] 0c83f718-2af5-4943-9ed6-4fa50b7ace14: 31 groups; 1.3 s; peak memory 99 MiB.
2026-09-21T21:17:05Z INFO [2/356] 0c8427fa-1b57-4f71-8fb4-aa7cc45ceb01: 48 groups; 2.8 s; peak memory 102 MiB.
2026-09-21T21:17:07Z INFO [3/356] 0c844f18-c189-4991-8439-e55942bd52be: 206 groups; 1.7 s; peak memory 102 MiB.
2026-09-21T21:17:08Z INFO [4/356] 0c8459e6-4109-4d57-b5c3-64fba140fab7: 18 groups; 1.2 s; peak memory 102 MiB.
2026-09-21T21:17:09Z INFO [5/356] 0c84cf1e-9c0f-444f-9bc1-347150dda800: 32 groups; 1.4 s; peak memory 105 MiB.
2026-09-21T21:17:12Z INFO [6/356] 0c854ba5-09a2-4c5a-bc58-413036720859: 48 groups; 2.7 s; peak memory 106 MiB.
2026-09-21T21:17:14Z INFO [7/356] 0c86349f-887a-424a-8ba5-7829815a85aa: 35 groups; 2.0 s; peak memory 107 MiB.
2026-09-21T21:17:34Z INFO [8/356] 0c86755b-87f6-4518-9601-f4e329d59218: 227 groups; 20.2 s; peak memory 157 MiB.
2026-09-21T21:17:36Z INFO [9/356] 0c86e473-9c4b-4fbf-9acd-58fc1348657a: 48 groups; 2.1 s; peak memory 157 MiB.
2026-09-21T21:17:38Z INFO [10/356] 0c875f1f-5618-4f2d-afe0-a269189dc0bc: 195 groups; 1.6 s; peak memory 157 MiB.
2026-09-21T21:17:39Z INFO [11/356] 0c882275-f543-4aea-93e9-9ab41b8200e0: 35 groups; 1.4 s; peak memory 157 MiB.
2026-09-21T21:17:41Z INFO [12/356] 0c88fcf2-7a15-494f-9081-75dfab4547bb: 35 groups; 1.4 s; peak memory 157 MiB.
2026-09-21T21:17:42Z INFO [13/356] 0c894799-e5a1-4add-8ab1-0a5bd3f8dc9a: 22 groups; 1.1 s; peak memory 157 MiB.
2026-09-21T21:17:43Z INFO [14/356] 0c899809-a85b-432b-97b5-651525cc83c5: 22 groups; 1.1 s; peak memory 157 MiB.
2026-09-21T21:17:44Z INFO [15/356] 0c8b097d-0e80-4d09-b1f6-cdd3f7f98684: 75 groups; 1.4 s; peak memory 157 MiB.
2026-09-21T21:17:46Z INFO [16/356] 0c8b3d92-3091-4d3b-af1b-71d784e97e81: 32 groups; 1.4 s; peak memory 157 MiB.
2026-09-21T21:17:52Z INFO [17/356] 0c8b486f-53ad-4ece-8bd1-074dcae05272: 34 groups; 6.2 s; peak memory 157 MiB.
2026-09-21T21:17:53Z INFO [18/356] 0c8c083f-82c1-4b7c-8d4b-02bc2e7e679b: 35 groups; 1.5 s; peak memory 158 MiB.
2026-09-21T21:17:55Z INFO [19/356] 0c8c78fe-9070-4675-bbae-9b08ad8756f4: 36 groups; 2.1 s; peak memory 158 MiB.
2026-09-21T21:17:58Z INFO [20/356] 0c8e2699-c4b3-46c8-a389-c9e561a4eea1: 17 groups; 2.3 s; peak memory 158 MiB.
