2026-09-24T15:58:39Z INFO Logging to /tmp/logs/update_2026-09-24T15-58-39Z.log.
2026-09-24T15:58:39Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-24T15:58:39Z INFO Processing 371 items (55798 already recorded).
2026-09-24T15:58:42Z INFO [1/371] 004dcca0-34c8-4b04-8229-bb49b3d00a29: 34 groups; 2.1 s; peak memory 98 MiB.
2026-09-24T15:58:44Z INFO [2/371] 00cec8b0-5164-4a3a-a02c-946d70edfb6b: 37 groups; 2.2 s; peak memory 100 MiB.
2026-09-24T15:58:46Z INFO [3/371] 018d6083-942f-4322-948a-5416034d58b0: 37 groups; 2.0 s; peak memory 101 MiB.
2026-09-24T15:58:48Z INFO [4/371] 019f7ec4-5618-4756-8fd4-f19708b07477: 37 groups; 2.0 s; peak memory 101 MiB.
2026-09-24T15:58:50Z INFO [5/371] 02a91933-a207-4f1f-828e-1884d7d1ca6d: 37 groups; 2.5 s; peak memory 101 MiB.
2026-09-24T15:58:52Z INFO [6/371] 02c7245a-55cc-4225-9a80-1763a746f953: 34 groups; 1.8 s; peak memory 101 MiB.
2026-09-24T15:58:54Z INFO [7/371] 0347b886-5145-4ff5-b921-7ddb454bbd7a: 37 groups; 2.2 s; peak memory 101 MiB.
2026-09-24T15:58:56Z INFO [8/371] 045e19bf-4aef-45d1-81ec-7f9ad0d28c62: 33 groups; 1.7 s; peak memory 102 MiB.
2026-09-24T15:58:58Z INFO [9/371] 05676ec9-7f1c-4840-8939-05161b45a42c: 33 groups; 1.7 s; peak memory 102 MiB.
2026-09-24T15:59:00Z INFO [10/371] 062eaefe-3055-4a5d-9558-32662cbc1f93: 36 groups; 2.0 s; peak memory 102 MiB.
2026-09-24T16:00:20Z INFO [11/371] 06a5808d-5e32-4eb4-be2e-67c9d09659d8: 27 groups; 80.6 s; peak memory 207 MiB.
2026-09-24T16:00:22Z INFO [12/371] 072c019d-53f2-4cc1-b181-ec9218dcf84d: 37 groups; 2.2 s; peak memory 207 MiB.
2026-09-24T16:00:24Z INFO [13/371] 0874236c-84ca-4a13-8c5a-00aea7f2dbbf: 32 groups; 1.9 s; peak memory 207 MiB.
2026-09-24T16:00:26Z INFO [14/371] 08d66869-7fa3-4e85-93dc-143a69068a57: 34 groups; 1.8 s; peak memory 207 MiB.
2026-09-24T16:00:28Z INFO [15/371] 091525e3-b436-4d91-b3ef-0bd761356383: 34 groups; 1.9 s; peak memory 207 MiB.
2026-09-24T16:00:30Z INFO [16/371] 09d932df-3e9d-4b8f-af27-95b57bea2495: 37 groups; 2.1 s; peak memory 208 MiB.
2026-09-24T16:00:32Z INFO [17/371] 0a61a66c-eafa-45eb-9f9d-5eca1dcf6e91: 36 groups; 2.1 s; peak memory 208 MiB.
2026-09-24T16:00:35Z INFO [18/371] 0a73ada3-fef1-4414-9aa5-41e6ec146645: 36 groups; 2.3 s; peak memory 208 MiB.
2026-09-24T16:00:36Z INFO [19/371] 0bbe4ddd-6289-4caa-8ad9-70bfc9f9bdc3: 36 groups; 2.0 s; peak memory 208 MiB.
2026-09-24T16:00:38Z INFO [20/371] 0bc50623-3a3d-4aac-a63b-09643095843c: 34 groups; 1.9 s; peak memory 209 MiB.
2026-09-24T16:00:41Z INFO [21/371] 0c2f9cb4-2971-450c-b5fe-6d105c2d387d: 36 groups; 2.4 s; peak memory 209 MiB.
2026-09-24T16:00:43Z INFO [22/371] 0c55c2b0-4277-47ea-94c1-3598a129cbd5: 37 groups; 2.7 s; peak memory 209 MiB.
2026-09-24T16:00:45Z INFO [23/371] 0ca67967-0dd6-4297-8206-bf3d0619b47e: 37 groups; 1.9 s; peak memory 209 MiB.
2026-09-24T16:00:47Z INFO [24/371] 0cc674f1-2ea7-483f-b709-f849f624b9c2: 34 groups; 1.7 s; peak memory 209 MiB.
2026-09-24T16:00:48Z INFO [25/371] 0ccdca3f-8e47-4108-b9e6-e63ab7b44eb6: 34 groups; 1.5 s; peak memory 209 MiB.
2026-09-24T16:00:51Z INFO [26/371] 0d72160e-3cf8-46e9-bd53-ee54e128f1ce: 37 groups; 2.3 s; peak memory 209 MiB.
2026-09-24T16:00:53Z INFO [27/371] 0d935ecf-80f5-44fe-be6d-298b7f163f29: 37 groups; 2.1 s; peak memory 209 MiB.
2026-09-24T16:00:56Z INFO [28/371] 0eea9aad-258e-4bb3-ad83-b2246152fedb: 37 groups; 2.6 s; peak memory 209 MiB.
2026-09-24T16:00:58Z INFO [29/371] 10c95fdd-42e2-45ae-87e6-8ab23f9a593b: 37 groups; 2.1 s; peak memory 209 MiB.
2026-09-24T16:01:00Z INFO [30/371] 11419b3b-99a0-4f1d-911b-b1bd47ebcf20: 36 groups; 2.0 s; peak memory 209 MiB.
2026-09-24T16:02:21Z INFO [31/371] 114cd714-9748-4a47-b13e-e71864c38adf: 27 groups; 81.2 s; peak memory 214 MiB.
2026-09-24T16:02:23Z INFO [32/371] 11b2f505-6fad-4e40-93c5-b3b2941688cd: 36 groups; 2.0 s; peak memory 214 MiB.
2026-09-24T16:02:25Z INFO [33/371] 11b943d7-94a2-44e6-a8e6-9eb21309cc63: 34 groups; 1.9 s; peak memory 214 MiB.
2026-09-24T16:02:26Z INFO [34/371] 126b6a50-5c5d-4a01-b179-52a68e81b586: 34 groups; 1.6 s; peak memory 214 MiB.
2026-09-24T16:02:27Z INFO [35/371] 128d6b9b-567e-49f3-be1d-d1ed9ed828ef: 255 groups; 1.2 s; peak memory 214 MiB.
2026-09-24T16:02:29Z INFO [36/371] 128e00f6-0769-4277-aaa4-ab9cf443110d: 35 groups; 1.5 s; peak memory 214 MiB.
2026-09-24T16:02:30Z INFO [37/371] 128eba19-f93e-4f73-b306-093b4dea676d: 16 groups; 0.8 s; peak memory 214 MiB.
2026-09-24T16:02:32Z INFO [38/371] 1290de9e-ff25-4534-8ad2-64908f9dcc4a: 37 groups; 2.0 s; peak memory 214 MiB.
2026-09-24T16:02:33Z INFO [39/371] 1291e0c0-22db-439a-b033-e3c77f02527f: 25 groups; 1.0 s; peak memory 214 MiB.
2026-09-24T16:02:34Z INFO [40/371] 1292574a-6ba9-4800-b6fb-e241db3f6833: 71 groups; 1.0 s; peak memory 214 MiB.
2026-09-24T16:02:35Z INFO [41/371] 1292d6c6-7ddc-442e-8dde-7b3d5235a3de: 35 groups; 1.3 s; peak memory 214 MiB.
2026-09-24T16:02:36Z INFO [42/371] 1292d6f5-5233-4410-86b0-e264efd93419: 33 groups; 1.4 s; peak memory 214 MiB.
2026-09-24T16:02:38Z INFO [43/371] 1292e86b-d3f9-4339-8db1-2d4f32991cb5: 32 groups; 1.2 s; peak memory 214 MiB.
2026-09-24T16:02:40Z INFO [44/371] 12937b49-7e20-4f1d-825c-e1a4c4845eea: 48 groups; 2.3 s; peak memory 215 MiB.
2026-09-24T16:02:41Z INFO [45/371] 129420b8-cc3c-4ee7-bebb-6263b92f417e: 32 groups; 1.5 s; peak memory 215 MiB.
2026-09-24T16:02:43Z INFO [46/371] 1294d09a-25be-4dc7-b1c6-f7de92a05c70: 33 groups; 1.3 s; peak memory 215 MiB.
2026-09-24T16:02:44Z INFO [47/371] 1294d69e-e19d-47b8-80a6-ce816f2df700: 194 groups; 1.3 s; peak memory 215 MiB.
2026-09-24T16:02:45Z INFO [48/371] 12974b9b-d644-4d93-a062-d93f83527331: 16 groups; 0.8 s; peak memory 215 MiB.
2026-09-24T16:02:46Z INFO [49/371] 129763d1-9fc7-4a67-86ea-ab736d01feaa: 22 groups; 1.1 s; peak memory 215 MiB.
2026-09-24T16:02:48Z INFO [50/371] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: 36 groups; 1.6 s; peak memory 215 MiB.
2026-09-24T16:02:48Z INFO [50/371] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: checkpointed 55848 records.
2026-09-24T16:03:26Z INFO [51/371] 12993b3c-8ee6-4f05-a7c9-78bfe1c156b5: 3548 groups; 38.3 s; peak memory 300 MiB.
2026-09-24T16:03:28Z INFO [52/371] 12995456-f6c0-455d-891c-37b9ebcf5cfe: 35 groups; 1.8 s; peak memory 300 MiB.
2026-09-24T16:03:29Z INFO [53/371] 12997001-0b2b-48c0-9385-3b1363974296: 25 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:03:30Z INFO [54/371] 12998c30-8061-474d-8795-91c8761f9eed: 33 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:03:40Z INFO [55/371] 1299e442-2bf9-44e8-96ea-5859793b42a6: 165 groups; 9.4 s; peak memory 300 MiB.
2026-09-24T16:03:41Z INFO [56/371] 129a6037-8f9c-4b9e-8059-69234e3f03ca: 30 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:03:43Z INFO [57/371] 129aad8c-9462-4cec-8135-e2942ac22fc4: 35 groups; 2.0 s; peak memory 300 MiB.
