2026-09-25T16:00:03Z INFO Logging to /tmp/logs/update_2026-09-25T16-00-03Z.log.
2026-09-25T16:00:03Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T16:00:03Z INFO Processing 381 items (56910 already recorded).
2026-09-25T16:00:15Z INFO [1/381] 0067cb5b-7fee-42a2-b9ef-088496361431: 38 groups; 12.2 s; peak memory 111 MiB.
2026-09-25T16:00:29Z INFO [2/381] 0a070021-3e71-4aed-857d-f083620feb92: 43 groups; 13.3 s; peak memory 115 MiB.
2026-09-25T16:00:30Z INFO [3/381] 14cf7874-3ff7-484b-bab4-88f6b5cec289: 18 groups; 1.2 s; peak memory 115 MiB.
2026-09-25T16:00:31Z INFO [4/381] 14cfc249-c943-4417-a279-98bbfb6d9a19: 254 groups; 1.4 s; peak memory 116 MiB.
2026-09-25T16:00:51Z INFO [5/381] 14d09d83-d61b-4389-911a-c760259cc4e5: 227 groups; 19.5 s; peak memory 149 MiB.
2026-09-25T16:00:52Z INFO [6/381] 14d1bd68-717d-490b-8019-6a8b420998fa: 18 groups; 1.1 s; peak memory 149 MiB.
2026-09-25T16:00:54Z INFO [7/381] 14d252fd-cfd6-4733-b915-f494cc19fc53: 42 groups; 1.9 s; peak memory 149 MiB.
2026-09-25T16:00:56Z INFO [8/381] 14d277f2-29ac-4344-b788-6dc9aab1e7a7: 29 groups; 2.2 s; peak memory 150 MiB.
2026-09-25T16:00:57Z INFO [9/381] 14d29f34-507b-41b7-af35-1221ff412229: 24 groups; 1.2 s; peak memory 150 MiB.
2026-09-25T16:00:59Z INFO [10/381] 14d40b73-fa98-4c11-b22c-26e74460757b: 59 groups; 1.9 s; peak memory 150 MiB.
2026-09-25T16:01:01Z INFO [11/381] 14d4965b-40e4-436f-adfd-94000360559b: 35 groups; 1.9 s; peak memory 150 MiB.
2026-09-25T16:01:02Z INFO [12/381] 14d5961f-31b8-4921-b814-911f04fcd925: 22 groups; 1.3 s; peak memory 150 MiB.
2026-09-25T16:01:11Z INFO [13/381] 14d5b597-16b0-483e-a323-cf22eeca56d6: 48 groups; 8.8 s; peak memory 263 MiB.
2026-09-25T16:01:12Z INFO [14/381] 14d6015d-602a-4a2f-b54c-30dcc74c3d8d: 17 groups; 1.1 s; peak memory 263 MiB.
2026-09-25T16:01:13Z INFO [15/381] 14d6527b-ac61-4686-9209-00e6d4dd182a: 28 groups; 1.3 s; peak memory 263 MiB.
2026-09-25T16:03:24Z INFO [16/381] 14d68588-2dc4-4d0f-a1b8-ec655e95b932: 60 groups; 130.4 s; peak memory 399 MiB.
2026-09-25T16:03:45Z INFO [17/381] 14d7ca55-ab1f-4ee7-90e5-b286178573b4: 23 groups; 21.3 s; peak memory 399 MiB.
2026-09-25T16:03:53Z INFO [18/381] 14d8aa96-00d5-4267-9548-6bbfed1bc410: 151 groups; 7.9 s; peak memory 399 MiB.
